,type,de,para,zmed,prec
142,1,18,-1,-0.0379412,0.02
144,1,20,-1,-0.03,0.02
146,1,22,-1,-0.05,0.02
147,1,23,-1,-0.03,0.02
149,1,25,-1,0.4739556,0.02
150,1,26,-1,0.0940952,0.02
152,1,28,-1,-0.07,0.02
154,1,30,-1,0.0,0.02
155,1,31,-1,0.0572404,0.02
156,1,32,-1,-0.3681133,0.02
164,1,40,-1,-0.23,0.02
169,1,45,-1,-0.22,0.02
170,1,46,-1,-0.1551176,0.02
171,1,47,-1,0.0,0.02
172,1,48,-1,-0.11,0.02
177,1,53,-1,-0.11,0.02
183,1,59,-1,-0.3615368,0.02
189,1,65,-1,0.8066734,0.02
190,1,66,-1,-0.18,0.02
191,1,67,-1,-0.07,0.02
192,1,68,-1,0.0,0.02
193,1,69,-1,-0.8283673,0.02
194,1,70,-1,-0.0944963,0.02
196,1,72,-1,-0.110866,0.02
200,1,76,-1,-0.3066898,0.02
201,1,77,-1,-0.28,0.02
207,1,83,-1,-0.1,0.02
209,1,85,-1,-0.2422843,0.02
212,1,88,-1,-0.1,0.02
213,1,89,-1,0.0,0.02
214,1,90,-1,0.2050587,0.02
215,1,91,-1,-0.1307181,0.02
216,1,92,-1,-0.1,0.02
219,1,95,-1,-0.31,0.02
224,1,100,-1,-0.18,0.02
227,1,103,-1,0.5949895,0.02
228,1,104,-1,-0.2156181,0.02
229,1,105,-1,-0.4427861,0.02
231,1,107,-1,-0.054394,0.02
234,1,110,-1,-0.3,0.02
236,1,112,-1,-0.13,0.02
237,1,113,-1,0.0,0.02
240,1,116,-1,0.0,0.02
243,1,1023,-1,0.0,0.02
244,1,1044,-1,0.0,0.02
245,1,1085,-1,0.0,0.02
246,1,1017,-1,0.0,0.02
247,1,1066,-1,0.0,0.02
248,1,1089,-1,0.0,0.02
249,1,1100,-1,0.0,0.02
4,0,5,-1,0.0,1e-05
8,0,9,-1,0.0,1e-05
36,0,37,-1,0.0,1e-05
37,0,38,-1,0.0,1e-05
62,0,63,-1,0.0,1e-05
63,0,64,-1,0.0,1e-05
70,0,71,-1,0.0,1e-05
80,0,81,-1,0.0,1e-05
129,1,5,-1,0.0,1e-05
133,1,9,-1,0.0,1e-05
161,1,37,-1,0.0,1e-05
162,1,38,-1,0.0,1e-05
187,1,63,-1,0.0,1e-05
188,1,64,-1,0.0,1e-05
195,1,71,-1,0.0,1e-05
205,1,81,-1,0.0,1e-05
250,2,1,2,-0.1239536,0.02
436,3,1,2,-0.1302738,0.02
630,2,10,9,4.5,0.02
816,3,10,9,-0.5104215,0.02
402,2,100,101,-0.1615294,0.02
588,3,100,101,0.2271577,0.02
405,2,100,103,1.2201522,0.02
591,3,100,103,-0.2220994,0.02
409,2,100,106,0.6045974,0.02
595,3,100,106,0.09466,0.02
435,2,100,1100,0.558246,0.02
621,3,100,1100,-0.8510246,0.02
768,2,100,92,-0.3011358,0.02
954,3,100,92,0.1517813,0.02
769,2,100,94,-0.0402633,0.02
955,3,100,94,0.4623833,0.02
772,2,100,98,0.0476254,0.02
958,3,100,98,-0.0718357,0.02
773,2,100,99,0.2223074,0.02
959,3,100,99,0.0289776,0.02
416,2,103,110,0.6063295,0.02
602,3,103,110,0.0838504,0.02
780,2,105,103,-0.423268,0.02
966,3,105,103,-0.1344899,0.02
782,2,105,104,-0.4813219,0.02
968,3,105,104,-0.0266343,0.02
411,2,105,106,0.087829,0.02
597,3,105,106,0.039095,0.02
413,2,105,108,0.2393307,0.02
599,3,105,108,-0.1107897,0.02
784,2,107,105,-0.2633596,0.02
970,3,107,105,-0.0055884,0.02
786,2,107,106,-0.2366404,0.02
972,3,107,106,0.0055726,0.02
788,2,110,103,-0.5918113,0.02
974,3,110,103,-0.0617949,0.02
789,2,110,109,-0.1357633,0.02
975,3,110,109,0.1171809,0.02
790,2,111,110,0.36,0.02
976,3,111,110,-0.0175047,0.02
791,2,112,110,-0.68,0.02
977,3,112,110,0.2862465,0.02
793,2,113,32,-0.0947452,0.02
979,3,113,32,0.1522584,0.02
797,2,116,68,-1.84,0.02
983,3,116,68,0.5138896,0.02
633,2,12,11,-0.3383068,0.02
819,3,12,11,0.350194,0.02
426,2,12,117,0.2015255,0.02
612,3,12,117,0.0519725,0.02
266,2,12,14,0.1827873,0.02
452,3,12,14,0.0263287,0.02
269,2,12,16,0.0694068,0.02
455,3,12,16,0.0445487,0.02
634,2,12,2,0.327759,0.02
820,3,12,2,0.1941251,0.02
635,2,12,3,0.0994918,0.02
821,3,12,3,0.0884162,0.02
636,2,12,7,-0.1626636,0.02
822,3,12,7,0.0570915,0.02
639,2,15,13,-0.0071915,0.02
825,3,15,13,-0.0205573,0.02
640,2,15,14,-0.0417271,0.02
826,3,15,14,-0.0784289,0.02
293,2,15,33,0.0772121,0.02
479,3,15,33,-0.0455067,0.02
432,2,17,1017,0.809778,0.02
618,3,17,1017,0.2396402,0.02
647,2,19,15,-0.1401549,0.02
833,3,19,15,-0.1571312,0.02
645,2,19,18,-0.2001038,0.02
831,3,19,18,-0.1738204,0.02
274,2,19,20,-0.0731623,0.02
460,3,19,20,0.03718,0.02
429,2,23,1023,1.15,0.02
615,3,23,1023,-0.050854,0.02
653,2,25,26,-0.952983,0.02
839,3,25,26,-0.1847962,0.02
423,2,27,115,0.1725607,0.02
609,3,27,115,0.0576261,0.02
660,2,31,17,-0.0955562,0.02
846,3,31,17,-0.1632379,0.02
421,2,32,113,0.0972767,0.02
607,3,32,113,-0.1934599,0.02
422,2,32,114,0.1282888,0.02
608,3,32,114,0.0102928,0.02
664,2,32,27,-0.0605985,0.02
850,3,32,27,-0.0542363,0.02
666,2,34,19,0.0371391,0.02
852,3,34,19,0.0457649,0.02
299,2,34,37,-0.9161849,0.02
485,3,34,37,-0.452797,0.02
309,2,34,43,-0.0163571,0.02
495,3,34,43,0.0405959,0.02
670,2,36,34,-0.3045425,0.02
856,3,36,34,-0.0488548,0.02
667,2,36,35,-0.0054575,0.02
853,3,36,35,-0.0441183,0.02
259,2,4,11,0.6405233,0.02
445,3,4,11,-0.0017571,0.02
674,2,40,37,-0.4357928,0.02
860,3,40,37,0.0326593,0.02
676,2,40,39,-0.2752097,0.02
862,3,40,39,0.0801872,0.02
305,2,40,41,0.1618944,0.02
491,3,40,41,0.0096313,0.02
678,2,42,40,0.1117366,0.02
864,3,42,40,0.02515,0.02
679,2,42,41,0.2106009,0.02
865,3,42,41,0.0543853,0.02
430,2,44,1044,0.1991,0.02
616,3,44,1044,-0.0643263,0.02
683,2,46,45,0.3835975,0.02
869,3,46,45,0.0109105,0.02
313,2,46,48,-0.1539086,0.02
499,3,46,48,-0.056009,0.02
688,2,49,45,0.5331133,0.02
874,3,49,45,0.0132655,0.02
318,2,49,50,0.5355043,0.02
504,3,49,50,0.1345177,0.02
319,2,49,51,0.6649504,0.02
505,3,49,51,0.2046833,0.02
694,2,54,53,0.1277516,0.02
880,3,54,53,0.0297972,0.02
698,2,56,55,0.2136315,0.02
884,3,56,55,0.0559307,0.02
327,2,56,57,-0.2288622,0.02
513,3,56,57,-0.0914966,0.02
329,2,56,58,-0.0658334,0.02
515,3,56,58,-0.037312,0.02
703,2,59,54,0.3102984,0.02
889,3,59,54,0.0423869,0.02
711,2,59,63,-1.5203827,0.02
897,3,59,63,-0.5698157,0.02
626,2,6,5,-0.8735241,0.02
812,3,6,5,-0.0134295,0.02
255,2,6,7,0.3535241,0.02
441,3,6,7,-0.0472955,0.02
707,2,61,59,0.5273991,0.02
893,3,61,59,-0.0463935,0.02
708,2,61,60,1.124261,0.02
894,3,61,60,-0.0822558,0.02
338,2,61,62,0.2537795,0.02
524,3,61,62,-0.1383383,0.02
713,2,61,64,-0.3054396,0.02
899,3,61,64,-0.1365917,0.02
346,2,62,67,-0.2467654,0.02
532,3,62,67,-0.1460634,0.02
349,2,65,68,0.1655143,0.02
535,3,65,68,-0.226151,0.02
433,2,66,1066,0.5355,0.02
619,3,66,1066,0.2128698,0.02
716,2,66,49,2.7157202,0.02
902,3,66,49,0.1656076,0.02
719,2,66,65,-0.0986991,0.02
905,3,66,65,-0.7055059,0.02
722,2,69,47,0.588764,0.02
908,3,69,47,-0.1008133,0.02
723,2,69,49,0.4880547,0.02
909,3,69,49,-0.1206206,0.02
361,2,69,75,1.1085141,0.02
547,3,69,75,0.2034592,0.02
726,2,70,24,0.0801308,0.02
912,3,70,24,-0.0675746,0.02
355,2,70,71,0.1835318,0.02
541,3,70,71,-0.1275944,0.02
728,2,72,24,0.0022663,0.02
914,3,72,24,-0.0839677,0.02
729,2,72,71,-0.1222663,0.02
915,3,72,71,-0.0268982,0.02
730,2,73,71,-0.06,0.02
916,3,73,71,0.09672,0.02
731,2,74,70,-0.1529116,0.02
917,3,74,70,-0.1565254,0.02
428,2,76,118,-0.0647936,0.02
614,3,76,118,-0.0977623,0.02
735,2,77,76,0.6359552,0.02
921,3,77,76,0.2431066,0.02
366,2,77,78,0.4543465,0.02
552,3,77,78,0.0660104,0.02
372,2,77,82,-0.0408167,0.02
558,3,77,82,0.1971657,0.02
257,2,8,5,3.378021,0.02
443,3,8,5,1.2468147,0.02
256,2,8,9,-4.4063501,0.02
442,3,8,9,-0.8973363,0.02
740,2,80,77,1.4326387,0.02
926,3,80,77,0.5815834,0.02
741,2,80,79,0.6546408,0.02
927,3,80,79,0.3109042,0.02
743,2,80,81,0.4324411,0.02
929,3,80,81,-0.73032,0.02
390,2,80,96,0.1901169,0.02
576,3,80,96,0.2141931,0.02
393,2,80,97,0.2647114,0.02
579,3,80,97,0.2610806,0.02
431,2,85,1085,0.5132,0.02
617,3,85,1085,-0.1986225,0.02
748,2,85,84,0.3267973,0.02
934,3,85,84,-0.0631902,0.02
377,2,85,86,0.1717248,0.02
563,3,85,86,-0.0735367,0.02
379,2,85,88,-0.521368,0.02
565,3,85,88,0.0814237,0.02
750,2,87,86,0.04,0.02
936,3,87,86,0.1102161,0.02
434,2,89,1089,1.676982,0.02
620,3,89,1089,-0.0440405,0.02
752,2,89,85,0.7435232,0.02
938,3,89,85,0.0371474,0.02
753,2,89,88,1.0216219,0.02
939,3,89,88,0.0761573,0.02
384,2,89,92,2.6278729,0.02
570,3,89,92,-0.0692642,0.02
755,2,91,90,-0.0010539,0.02
941,3,91,90,-0.0685565,0.02
403,2,92,102,0.4403437,0.02
589,3,92,102,-0.0832942,0.02
757,2,92,91,0.0994276,0.02
943,3,92,91,0.0320365,0.02
386,2,92,93,0.5646515,0.02
572,3,92,93,-0.1128879,0.02
767,2,99,80,-0.1985807,0.02
953,3,99,80,-0.1281162,0.02
994,4,1,-1,0.955,0.01
997,4,4,-1,0.998,0.01
998,4,5,-1,1.0019811,0.01
999,4,6,-1,0.99,0.01
1001,4,8,-1,1.015,0.01
1003,4,10,-1,1.05,0.01
1005,4,12,-1,0.99,0.01
1008,4,15,-1,0.97,0.01
1011,4,18,-1,0.973,0.01
1012,4,19,-1,0.962,0.01
1017,4,24,-1,0.992,0.01
1018,4,25,-1,1.05,0.01
1019,4,26,-1,1.015,0.01
1020,4,27,-1,0.968,0.01
1023,4,30,-1,0.9856659,0.01
1024,4,31,-1,0.967,0.01
1025,4,32,-1,0.963,0.01
1027,4,34,-1,0.984,0.01
1029,4,36,-1,0.98,0.01
1030,4,37,-1,0.9906926,0.01
1031,4,38,-1,0.9615893,0.01
1033,4,40,-1,0.97,0.01
1035,4,42,-1,0.985,0.01
1037,4,44,-1,0.9869901,0.01
1038,4,45,-1,0.9872985,0.01
1039,4,46,-1,1.005,0.01
1041,4,48,-1,1.020612,0.01
1042,4,49,-1,1.025,0.01
1047,4,54,-1,0.955,0.01
1048,4,55,-1,0.952,0.01
1049,4,56,-1,0.954,0.01
1052,4,59,-1,0.985,0.01
1054,4,61,-1,0.995,0.01
1055,4,62,-1,0.998,0.01
1057,4,64,-1,0.9837322,0.01
1058,4,65,-1,1.005,0.01
1059,4,66,-1,1.05,0.01
1061,4,68,-1,1.0032467,0.01
